order,date,trial_week,trial_rep,trial_num,tank,pred_dens,crab_id,prey_in,time_init,prey_out,time_end,prey_eaten,prey_per_crab,notes
1,10-Dec,1,1,6,1,2,"25,28",5,1620,1,1600,4,2,
2,10-Dec,1,1,12,2,3,"2,9,10",20,1620,17,1600,3,1,
3,10-Dec,1,1,4,3,1,19,20,1620,17,1600,3,3,
4,10-Dec,1,1,8,4,2,"27,26",20,1620,20,1600,0,0,"27 not starved, transferred from other tanks"
5,10-Dec,1,1,2,5,1,17,5,1620,0,1600,5,5,Crab labeled as 17 but use size info for 16
6,10-Dec,1,1,10,6,3,"5,6,20",5,1620,0,1600,5,1.666666667,
7,10-Dec,1,1,1,7,1,15,2,1620,1,1600,1,1,
8,10-Dec,1,1,7,8,2,"7,12",10,1620,7,1600,3,1.5,
9,10-Dec,1,1,11,9,3,"1,11,21",10,1620,8,1600,2,0.666666667,"DISCARD; #1 dropped claw, #8 crawled over barrier at unknown time in trial"
10,10-Dec,1,1,3,10,1,8,10,1620,10,1600,0,0,DISCARD; #8 crawled over barrier at unknown time in trial
11,10-Dec,1,1,9,11,3,"3,4,23",2,1620,0,1600,2,0.666666667,
12,10-Dec,1,1,1,12,1,13,2,1620,0,1600,2,2,"Use as 1 pred x 2 prey trial rep (trial_num_1), #14 left out of tank and not included in trial for duration"
13,14-Dec,1,2,12,1,3,"2,9,10",20,1630,8,1600,12,4,
14,14-Dec,1,2,6,2,2,"25,28",5,1630,2,1600,3,1.5,
15,14-Dec,1,2,8,3,2,"27,26",20,1630,16,1600,4,2,
16,14-Dec,1,2,4,4,1,19,20,1630,18,1600,2,2,
17,14-Dec,1,2,10,5,3,"5,6,20",5,1630,0,1600,5,1.666666667,
18,14-Dec,1,2,2,6,1,17,5,1630,0,1600,5,5,
19,14-Dec,1,2,7,7,2,"7,12",10,1630,3,1600,7,3.5,
20,14-Dec,1,2,1,8,1,15,2,1630,0,1600,2,2,
21,14-Dec,1,2,3,9,1,8,10,1630,10,1600,0,0,"#8 fell from tank during reacclimation, cracked and dropped claw"
22,14-Dec,1,2,11,10,3,"1,11,21",10,1630,8,1600,2,0.666666667,"#1 has one claw, dropped leg, signs of stress"
23,14-Dec,1,2,5,11,1,"13,14",2,1630,0,1600,2,2,
24,14-Dec,1,2,9,12,3,"3,4,23",2,1630,0,1600,2,0.666666667,
25,17-Dec,2,1,1,1,1,38,2,1630,2,1630,0,0,
26,17-Dec,2,1,11,2,3,"18,32,33",10,1630,6,1630,4,1.333333333,Crab 18 acclimated for 2 weeks
27,17-Dec,2,1,6,3,2,"30, 17",5,1630,2,1630,3,1.5,Crab 16 used in trial 1 (labeled as 17)
28,17-Dec,2,1,8,4,2,"36,42",20,1630,10,1630,10,5,
29,17-Dec,2,1,4,5,1,41,20,1630,12,1630,8,8,
30,17-Dec,2,1,9,6,3,"35,45,49",2,1630,1,1630,1,0.333333333,
31,17-Dec,2,1,12,7,3,"31,39,47",20,1630,8,1630,12,4,"Light faulty, crabs kept in dark"
32,17-Dec,2,1,3,8,1,51,10,1630,7,1630,3,3,"Light faulty, crabs kept in dark"
33,17-Dec,2,1,7,9,2,"48,50",10,1630,2,1630,8,4,
34,17-Dec,2,1,10,10,3,"43,46,29",5,1630,4,1630,1,0.333333333,
35,17-Dec,2,1,5,11,2,"40,52",2,1630,0,1630,2,1,
36,17-Dec,2,1,2,12,1,44,5,1630,5,1630,0,0,
37,21-Dec,2,2,11,1,3,"18,32,33",10,1630,3,1630,7,2.333333333,
38,21-Dec,2,2,1,2,1,38,2,1630,0,1630,2,2,
39,21-Dec,2,2,8,3,2,"36,42",20,1630,15,1630,5,2.5,
40,21-Dec,2,2,6,4,2,"30, 17",5,1630,0,1630,5,2.5,
41,21-Dec,2,2,9,5,3,"35,45,49",2,1630,0,1630,2,0.666666667,
42,21-Dec,2,2,4,6,1,41,20,1630,14,1630,6,6,
43,21-Dec,2,2,3,7,1,51,10,1630,4,1630,6,6,"Light faulty, crabs kept in dark"
44,21-Dec,2,2,12,8,3,"31,39,47",20,1630,6,1630,14,4.666666667,"Light faulty, crabs kept in dark"
45,21-Dec,2,2,10,9,3,"43,29,15",5,1630,0,1630,5,1.666666667,
46,21-Dec,2,2,7,10,2,"48,50",10,1630,0,1630,10,5,
47,21-Dec,2,2,2,11,1,44,5,1630,0,1630,5,5,
48,21-Dec,2,2,5,12,2,"40,52",2,1630,0,1630,2,1,
49,1/21/2019,3,1,7,1,2,"72, 62",10,1615,10,1600,0,0,"Ate in second trial, probably warrants inclusion. No obvious reason for no predation"
50,1/21/2019,3,1,3,2,1,70,10,1615,9,1600,1,1,
51,1/21/2019,3,1,11,3,3,"64, 67, 68",10,1615,0,1600,10,3.333333333,
52,1/21/2019,3,1,8,4,2,"65, 66",20,1615,13,1600,7,3.5,
53,1/21/2019,3,1,5,5,2,"69, 73",2,1615,0,1600,2,1,
54,1/21/2019,3,1,1,6,1,76,2,1615,0,1600,2,2,
55,1/21/2019,3,1,4,9,1,74,20,1615,6,1600,14,14,
56,1/21/2019,3,1,9,10,3,"61, 63, 75",2,1615,0,1600,2,0.666666667,
57,1/21/2019,3,1,12,11,3,"71, 77, 60",20,1615,2,1600,18,6,Mussel in crab claw when trial concluded
58,1/25/2019,3,2,3,1,1,70,10,1508,7,1445,3,3,Filming started at 16:30
59,1/25/2019,3,2,7,2,2,"72, 62",10,1508,7,1445,3,1.5,Filming started at 16:30
60,1/25/2019,3,2,8,3,2,"65, 66",20,1508,11,1445,9,4.5,Filming started at 16:30
61,1/25/2019,3,2,11,4,3,"64, 67, 68",10,1508,3,1445,7,2.333333333,Filming started at 16:30
62,1/25/2019,3,2,1,5,1,76,2,1508,0,1445,2,2,Filming started at 16:30
63,1/25/2019,3,2,5,6,2,"69, 73",2,1508,0,1445,2,1,Filming started at 16:30
64,1/25/2019,3,2,6,13,2,"78, 79",5,1508,1,1445,4,2,"Filming started at 16:30; new crab, acclimated for additional 3 days before use"
65,1/25/2019,3,2,9,9,3,"61, 63, 75",2,1508,0,1445,2,0.666666667,Filming started at 16:30
66,1/25/2019,3,2,4,10,1,74,20,1508,7,1445,13,13,Filming started at 16:30
67,1/25/2019,3,2,2,11,1,80,5,1508,2,1445,3,3,"Filming started at 16:30; new crab, acclimated for additional 3 days before use"
68,1/25/2019,3,2,12,12,3,"71, 77, 60",20,1508,8,1445,12,4,Filming started at 16:30
69,2/13/2019,3,3,12,1,3,"71, 77, 60",20,1540,10,1500,10,3.333333333,No filming
70,2/13/2019,3,3,4,2,1,74,20,1540,7,1500,13,13,No filming
71,2/13/2019,3,3,9,3,3,"61, 63, 75",2,1540,0,1500,2,0.666666667,No filming
72,2/13/2019,3,3,5,4,2,"69, 73",2,1540,1,1500,1,0.5,No filming
73,2/13/2019,3,3,2,5,1,80,5,1540,2,1500,3,3,No filming
74,2/13/2019,3,3,1,6,1,76,2,1540,2,1500,0,0,No filming
75,2/13/2019,3,3,11,13,3,"64, 67, 68",10,1540,3,1500,7,2.333333333,No filming
76,2/13/2019,3,3,8,14,2,"65, 66",20,1540,9,1500,11,5.5,No filming
77,2/13/2019,3,3,7,9,2,"72, 62",10,1540,7,1500,3,1.5,No filming
78,2/13/2019,3,3,3,10,1,81,10,1540,10,1500,0,0,"DISCARD: new crab, hadn't acclimated for previous trials. Replaced crab 70 who died between reps 2 and 3. Obviously not a good trial candidate"
79,2/13/2019,3,3,6,12,2,"78, 79",5,1540,5,1500,0,0,No filming
80,2/13/2019,3,3,4,11,1,82,20,1540,14,1500,6,6,"No filming; new crab, hadn't acclimated for previous trials"
