crab_id,size
1,13.8
2,12.4
3,10.8
4,11.0
5,12.2
6,9.8
7,10.6
8,11.8
9,12.0
10,10.3
11,10.0
12,12.2
13,10.6
14,10.2
15,10.0
17,11.2
18,11.4
19,8.9
20,9.4
21,9.8
23,12.3
25,12.0
26,11.4
27,12.2
28,12.3
29,12.6
30,13.3
31,11.4
32,12.6
33,13.0
35,13.4
36,13.0
38,12.2
39,12.5
40,12.0
41,13.1
42,12.2
43,12.0
44,12.0
45,12.8
46,11.8
47,12.6
48,12.8
49,9.7
50,12.2
51,12.2
52,13.2
60,12.2
61,11.8
62,13.0
63,12.4
64,12.4
65,13.1
66,14.2
67,12.0
68,10.4
69,12.2
70,12.8
71,11.4
72,11.8
73,12.0
74,14.8
75,12.4
76,10.6
77,10.6
78,12.2
79,13.0
80,11.6
81,13.0
82,11.5
