"","ord","pred_dens","prey_in","prey_eaten","prey_per_crab"
"1",1,2,5,4,2
"2",2,3,20,3,1
"3",3,1,20,3,3
"4",4,1,5,5,5
"5",5,3,5,5,2
"6",6,1,2,1,1
"7",7,2,10,3,2
"8",8,3,2,2,1
"9",9,1,2,2,2
"10",10,3,20,12,4
"11",11,2,5,3,2
"12",12,2,20,4,2
"13",13,1,20,2,2
"14",14,3,5,5,2
"15",15,1,5,5,5
"16",16,2,10,7,4
"17",17,1,2,2,2
"18",18,3,10,2,1
"19",19,1,2,2,2
"20",20,3,2,2,1
"21",21,3,10,4,1
"22",22,2,5,3,2
"23",23,2,20,10,5
"24",24,1,20,8,8
"25",25,3,2,1,0
"26",26,3,20,12,4
"27",27,1,10,3,3
"28",28,2,10,8,4
"29",29,3,5,1,0
"30",30,2,2,2,1
"31",31,3,10,7,2
"32",32,1,2,2,2
"33",33,2,20,5,2
"34",34,2,5,5,2
"35",35,3,2,2,1
"36",36,1,20,6,6
"37",37,1,10,6,6
"38",38,3,20,14,5
"39",39,3,5,5,2
"40",40,2,10,10,5
"41",41,1,5,5,5
"42",42,2,2,2,1
"43",43,1,10,1,1
"44",44,3,10,10,3
"45",45,2,20,7,4
"46",46,2,2,2,1
"47",47,1,2,2,2
"48",48,1,20,14,14
"49",49,3,2,2,1
"50",50,3,20,18,6
"51",51,1,10,3,3
"52",52,2,10,3,2
"53",53,2,20,9,4
"54",54,3,10,7,2
"55",55,1,2,2,2
"56",56,2,2,2,1
"57",57,2,5,4,2
"58",58,3,2,2,1
"59",59,1,20,13,13
"60",60,1,5,3,3
"61",61,3,20,12,4
"62",62,3,20,10,3
"63",63,1,20,13,13
"64",64,3,2,2,1
"65",65,2,2,1,0
"66",66,1,5,3,3
"67",67,3,10,7,2
"68",68,2,20,11,6
"69",69,2,10,3,2
"70",70,1,20,6,6
